Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Credit_Card_Debt,Existing_Personal_Loan,Employment_Type
LP001002,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y,5849,1278.26,1,Unemployed
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N,6091,2910.41,1,Salaried
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y,3000,1138.19,0,Self-Employed
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y,4941,1578.14,0,Salaried
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y,6000,721.25,1,Salaried
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y,9613,1155.46,1,Salaried
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y,3849,293.05,0,Salaried
LP001014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N,5540,2436.38,0,Salaried
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y,5532,1773.02,0,Self-Employed
LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N,23809,8776.78,0,Salaried
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y,3900,231.13,0,Unemployed
LP001027,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y,4340,2111.23,0,Salaried
LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y,11179,4746.59,0,Self-Employed
LP001029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N,4693,683.08,1,Self-Employed
LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y,2385,314.39,0,Self-Employed
LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y,4950,656.03,0,Self-Employed
LP001034,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y,3596,672.12,1,Self-Employed
LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N,3510,1004.35,1,Salaried
LP001038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N,4887,1194.26,0,Salaried
LP001041,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y,6100,1104.42,0,Salaried
LP001043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N,7660,2492.06,0,Unemployed
LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y,11580,1305.9,0,Salaried
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N,4511,818.59,0,Self-Employed
LP001050,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N,5282,1134.91,0,Salaried
LP001052,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N,6642,1695.25,0,Salaried
LP001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y,9560,3855.83,0,Salaried
LP001068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y,5052,706.54,0,Salaried
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y,5266,1481.88,0,Salaried
LP001086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N,1442,456.52,0,Salaried
